studentName,mailStudent,nota
Peri,Peri@alumnos.upm.es,2.93
Zia,Zia@alumnos.upm.es,8.55
Lulita,Lulita@alumnos.upm.es,9.31
Nannie,Nannie@alumnos.upm.es,2.28
Nickie,Nickie@alumnos.upm.es,6.46
Yolane,Yolane@alumnos.upm.es,8.42
Gisela,Gisela@alumnos.upm.es,5.62
Alisha,Alisha@alumnos.upm.es,7.25
Lorenza,Lorenza@alumnos.upm.es,2.42
Pamella,Pamella@alumnos.upm.es,9.32
Karlee,Karlee@alumnos.upm.es,7.15
Sheree,Sheree@alumnos.upm.es,2.52
Elie,Elie@alumnos.upm.es,8.38
Jacquetta,Jacquetta@alumnos.upm.es,8.17
Dorthy,Dorthy@alumnos.upm.es,3.45
Caressa,Caressa@alumnos.upm.es,3.12
Aurore,Aurore@alumnos.upm.es,6.53
Alie,Alie@alumnos.upm.es,9.55
Binny,Binny@alumnos.upm.es,2.56
Susette,Susette@alumnos.upm.es,8.31
Tilly,Tilly@alumnos.upm.es,7.87
Brana,Brana@alumnos.upm.es,8.26
Melanie,Melanie@alumnos.upm.es,6.16
Kylynn,Kylynn@alumnos.upm.es,1.92
Josephine,Josephine@alumnos.upm.es,9.11
Gale,Gale@alumnos.upm.es,9.6
Fernande,Fernande@alumnos.upm.es,5.72
Trixi,Trixi@alumnos.upm.es,3.16
Sashenka,Sashenka@alumnos.upm.es,9.13
Kristina,Kristina@alumnos.upm.es,9.53
Shannah,Shannah@alumnos.upm.es,8.13
Lenna,Lenna@alumnos.upm.es,1.06
Marita,Marita@alumnos.upm.es,4.56
Ezmeralda,Ezmeralda@alumnos.upm.es,4.19
Alameda,Alameda@alumnos.upm.es,9.73
Donetta,Donetta@alumnos.upm.es,8.1
Ninnetta,Ninnetta@alumnos.upm.es,3.36
Dale,Dale@alumnos.upm.es,1
Arabel,Arabel@alumnos.upm.es,6.35
Meg,Meg@alumnos.upm.es,7.84
Arlina,Arlina@alumnos.upm.es,4.55
Lolita,Lolita@alumnos.upm.es,5.19
Carol-Jean,Carol-Jean@alumnos.upm.es,1.68
Beth,Beth@alumnos.upm.es,1.89
Kirstin,Kirstin@alumnos.upm.es,1.98
Daryl,Daryl@alumnos.upm.es,4.44
Viviene,Viviene@alumnos.upm.es,8.94
Nanete,Nanete@alumnos.upm.es,3.79
Claresta,Claresta@alumnos.upm.es,5.37
Wynne,Wynne@alumnos.upm.es,8.59
